YEAR,PLAYER,POS,HAND LENGTH (Inches),HAND WIDTH (INCHES),HEIGHT W/O SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
2024,AJ Johnson,SG,8.50,8.50,76.25,102.0,167.0,80.5
2024,Adem Bona,C,9.50,10.00,80.25,108.0,243.2,87.75
2024,Ajay Mitchell,PG,8.50,8.50,75.25,101.0,197.0,78.25
2024,Alex Karaban,PF,8.75,9.25,78.5,106.5,219.2,83.0
2024,Alexandre Sarr,C,9.00,10.00,83.75,110.0,224.2,88.25
2024,Antonio Reeves,SG,9.00,10.00,76.5,100.5,186.6,80.25
2024,Ariel Hukporti,C,9.25,10.25,82.75,111.0,246.2,86.5
2024,Baylor Scheierman,SF,9.25,9.75,78.25,102.5,201.6,80.25
2024,Bobi Klintman,PF,8.75,10.00,80.75,106.5,212.2,83.0
2024,Boogie Ellis,PG-SG,9.00,9.50,72.75,98.0,185.0,79.0
2024,Bronny James,SG,8.50,9.50,73.5,98.5,210.4,79.25
2024,Cam Christie,SG,8.00,8.00,76.5,101.5,190.4,80.0
2024,Cam Spencer,SG,8.50,9.75,75.0,98.5,201.8,77.0
2024,Carlton Carrington,PG,8.50,9.25,75.75,99.0,194.8,80.0
2024,Cody Williams,SF,8.25,9.00,78.5,103.0,178.4,85.0
2024,Coleman Hawkins,PF,8.75,8.75,80.25,107.0,215.2,84.0
2024,DaRon Holmes II,C,8.75,9.00,80.75,108.0,236.2,85.0
2024,Dalton Knecht,SF,8.50,9.50,77.25,103.5,212.2,81.0
2024,David Jones,SF,8.50,9.50,75.5,100.0,211.2,78.75
2024,Devin Carter,SG,8.75,9.00,74.25,98.0,193.0,80.75
2024,Dillon Jones,SF,9.00,9.25,76.5,100.5,236.8,83.0
2024,Donovan Clingan,C,10.00,10.25,85.75,115.0,282.0,90.75
2024,Enrique Freeman,PF,8.75,10.00,79.25,108.0,212.0,86.0
2024,Harrison Ingram,SF,9.00,10.25,77.25,102.5,233.6,84.25
2024,Hunter Sallis,SG,8.00,9.50,75.5,100.5,179.4,81.75
2024,Isaac Jones,C,9.25,10.25,79.75,108.0,235.0,87.0
2024,Isaiah Collier,PG,8.50,9.00,74.5,97.5,204.6,76.75
2024,Izan Almansa,C,9.25,9.25,81.25,110.0,219.6,85.0
2024,JT Toppin,PF,9.25,9.25,79.0,106.0,221.0,84.5
2024,Ja'Kobe Walter,SG,8.75,9.75,76.25,102.5,197.6,82.0
2024,Jalen Bridges,SF,9.00,10.00,78.75,105.0,213.4,82.0
2024,Jamal Shead,PG,8.25,8.75,72.25,96.0,200.8,75.0
2024,Jamir Watkins,SF,9.00,9.50,77.0,104.0,211.6,82.75
2024,Jared McCain,SG,8.25,9.50,74.0,98.0,203.2,75.5
2024,Jaxson Robinson,SG,9.00,9.50,76.75,103.0,188.6,83.25
2024,Jaylen Wells,SF,8.25,9.25,78.5,103.5,206.2,79.25
2024,Jaylon Tyson,SF,8.25,9.50,77.5,102.5,218.2,80.0
2024,Jesse Edwards,C,9.25,10.00,83.5,111.0,236.0,89.0
2024,Johnny Furphy,SF,8.00,9.50,79.5,104.5,188.8,80.0
2024,Jonathan Mogbo,PF,8.75,8.75,78.25,108.5,217.2,86.0
2024,Juan Nunez,PG,8.50,9.50,76.0,102.0,205.6,78.5
2024,Justin Edwards,SF,8.75,8.75,78.0,102.5,209.4,82.0
2024,KJ Simpson,PG,8.25,9.25,72.25,93.5,187.0,76.5
2024,Kel'el Ware,C,9.50,10.25,83.75,112.5,230.0,88.5
2024,Keshad Johnson,PF,9.25,10.75,78.25,103.0,224.0,82.25
2024,Kevin McCullar Jr.,SF,8.75,9.50,77.25,103.0,205.8,81.0
2024,Kyle Filipowski,PF,8.75,9.50,82.75,107.0,229.8,82.5
2024,Kyshawn George,SF,9.00,10.25,79.0,105.0,208.8,82.25
2024,Mark Sears,PG,8.00,8.50,70.25,92.0,192.4,74.0
2024,Matas Buzelis,SF,8.50,9.25,80.75,105.5,197.0,82.0
2024,Melvin Ajinca,SF,8.50,9.75,79.25,106.5,213.8,79.5
2024,Michael Ajayi,SF,9.50,9.75,77.75,106.5,227.8,84.75
2024,N'Faly Dante,C,9.25,10.00,82.0,111.0,260.2,90.0
2024,Nae'Qwan Tomlin,PF,9.00,10.00,80.25,109.0,205.0,86.5
2024,Nikola Djurisic,SF,8.50,10.00,79.0,102.5,208.8,80.0
2024,Nikola Topic,PG,8.00,9.00,77.75,102.0,203.0,77.5
2024,Nique Clifford,SF,8.00,9.00,77.0,102.0,198.6,80.0
2024,Oso Ighodaro,C,9.00,10.00,81.5,104.5,222.0,83.0
2024,PJ Hall,C,9.00,9.75,80.25,103.5,239.6,85.5
2024,Pacome Dadiet,SF,8.50,9.00,79.75,107.5,216.8,81.0
2024,Payton Sandfort,SF,8.50,9.00,78.25,104.0,212.0,80.0
2024,Pelle Larsson,SG,8.75,10.25,77.25,102.0,212.4,79.5
2024,Quinten Post,C,9.25,10.00,84.0,112.0,244.4,86.5
2024,Reece Beekman,PG,8.50,9.00,73.25,100.0,196.4,78.5
2024,Reed Sheppard,PG,7.75,9.00,73.75,93.5,181.6,75.25
2024,Robert Dillingham,PG,8.00,8.25,73.0,95.0,164.2,75.0
2024,Ron Holland II,SF,8.75,9.00,78.5,104.0,196.8,82.75
2024,Ryan Dunn,PF,9.00,9.75,78.25,103.0,213.6,85.5
2024,Stephon Castle,SG,8.75,8.75,77.5,102.0,210.0,81.0
2024,Terrence Shannon Jr.,SF,8.75,8.50,77.75,100.0,219.4,80.75
2024,Tidjane Salaun,PF,8.50,9.75,80.75,110.0,217.4,85.5
2024,Trentyn Flowers,SF,8.75,9.50,78.5,100.5,201.4,80.25
2024,Trevon Brazile,PF,9.00,10.25,81.25,108.5,215.0,87.75
2024,Trey Alexander,SG,8.75,10.00,75.25,101.5,187.0,82.5
2024,Tristan Da Silva,PF,9.00,9.50,80.25,104.5,216.8,82.25
2024,Tristen Newton,PG,8.50,9.00,75.25,100.0,191.8,78.75
2024,Tyler Kolek,PG,8.25,9.50,73.25,95.0,196.6,74.75
2024,Tyler Smith,PF,8.50,9.00,81.0,105.0,223.8,85.0
2024,Tyon Grant-Foster,SF,8.75,9.25,77.75,104.0,215.2,83.75
2024,Ulrich Chomche,C,9.25,10.25,82.25,109.0,232.4,88.0
2024,Yves Missi,C,9.50,10.00,82.75,109.5,229.4,86.0
2024,Zaccharie Risacher,SF,8.50,8.75,80.5,107.0,194.6,81.5
2024,Zach Edey,C,10.00,10.75,87.75,115.0,299.0,94.75
2023,Adam Flagler,PG,8.00,9.25,73.0,97.0,191.8,76.5
2023,Adama Sanogo,C,9.75,10.00,79.25,108.5,257.8,86.75
2023,Adem Bona,C,9.25,10.00,80.25,110.5,243.4,
2023,Amari Bailey,SG,8.00,9.25,75.25,103.5,190.8,79.0
2023,Amen Thompson,SG,8.50,8.50,77.75,103.5,214.2,84.0
2023,Andre Jackson Jr.,SF,8.25,9.50,77.5,103.0,198.4,81.75
2023,Anthony Black,PG,8.25,9.50,77.75,102.5,210.0,79.5
2023,Arthur Kaluma,PF,8.50,10.00,78.25,103.5,221.8,84.5
2023,Ausar Thompson,SG,8.75,9.25,77.75,104.0,218.2,84.0
2023,Azuolas Tubelis,PF,9.00,10.50,80.75,108.0,234.8,83.0
2023,Ben Sheppard,SG,8.50,9.50,77.25,100.0,194.6,79.75
2023,Bilal Coulibaly,SG-SF,-,-,,,-,
2023,Bobi Klintman,PF,-,-,,,-,
2023,Brandin Podziemski,SG,8.25,10.00,75.75,96.5,203.8,77.5
2023,Brandon Miller,SF,-,-,,,-,
2023,Brice Sensabaugh,SF,-,-,,,-,
2023,Cam Whitmore,SF,8.00,8.25,77.75,103.5,235.0,80.5
2023,Cason Wallace,PG,8.50,9.25,74.5,101.0,195.2,80.5
2023,Chris Livingston,SF,8.50,9.00,78.0,104.5,219.2,83.25
2023,Colby Jones,SG,8.25,8.50,76.5,103.0,199.2,80.0
2023,Coleman Hawkins,PF,8.75,8.75,80.5,108.5,224.4,84.25
2023,DaRon Holmes II,C,8.50,9.50,81.0,109.0,220.8,84.5
2023,Dariq Whitehead,SG,8.50,10.00,77.75,103.5,217.2,82.25
2023,Dereck Lively Jr.,C,-,-,,,-,
2023,Dillon Mitchell,PF,8.25,9.50,78.75,105.0,193.0,82.0
2023,Drew Timme,C,9.00,10.00,80.75,108.5,243.2,85.75
2023,Emoni Bates,SF,8.00,8.25,80.25,105.0,179.2,81.0
2023,GG Jackson,PF,8.50,10.00,80.25,106.0,214.4,83.5
2023,Gradey Dick,SG,8.25,9.00,78.25,101.0,204.0,80.75
2023,Grant Nelson,PF,9.00,9.50,82.0,106.5,223.4,84.0
2023,Isaiah Wong,SG,8.25,9.50,74.5,97.5,178.4,78.75
2023,Jaime Jaquez Jr.,SF,8.50,9.50,78.0,99.5,226.4,81.5
2023,Jalen Hood-Schifino,PG,9.00,9.75,76.25,100.5,216.6,82.25
2023,Jalen Pickett,PG,8.50,7.50,74.0,98.5,197.8,79.25
2023,Jalen Slawson,PF,9.00,9.00,78.5,106.0,221.6,83.75
2023,Jalen Wilson,SF,8.25,9.00,77.5,99.5,230.2,80.0
2023,James Nnaji,C,-,-,,,-,
2023,Jarace Walker,PF,9.00,10.00,78.5,104.5,248.6,86.5
2023,Jaylen Clark,SG,8.50,9.00,76.0,101.5,204.2,81.0
2023,Jett Howard,SF,-,-,,,-,
2023,Jordan Hawkins,SG,8.25,8.75,76.25,101.5,186.0,78.75
2023,Jordan Miller,SF,8.50,9.25,76.5,103.5,191.6,83.75
2023,Jordan Walsh,SF,8.75,8.50,77.75,107.0,204.0,85.75
2023,Judah Mintz,PG,8.25,9.25,75.0,98.0,176.4,75.5
2023,Julian Phillips,SF,8.50,9.00,78.75,102.0,196.6,83.5
2023,Julian Strawther,SF,8.25,8.25,78.0,105.0,208.8,81.25
2023,Kevin McCullar,SF,-,-,,,-,
2023,Keyontae Johnson,SF,9.00,9.00,76.0,103.0,238.6,84.0
2023,Keyonte George,SG,-,-,,,-,
2023,Kobe Brown,PF,8.75,9.75,78.5,106.5,252.2,84.75
2023,Kobe Bufkin,SG,8.00,9.25,76.25,102.5,186.8,79.75
2023,Kris Murray,PF,8.50,9.00,79.75,106.0,212.8,83.75
2023,Leonard Miller,PF,9.50,10.50,81.25,106.5,212.8,86.0
2023,Marcus Sasser,PG,8.75,9.50,73.25,99.5,195.6,79.0
2023,Maxwell Lewis,SG,8.75,9.50,78.25,104.5,207.2,84.0
2023,Mike Miles Jr.,PG,8.00,8.25,72.75,96.0,205.0,72.5
2023,Mojave King,SG,8.75,9.50,75.75,101.0,200.6,80.0
2023,Mouhamed Gueye,C,9.00,10.00,82.25,110.5,212.6,87.25
2023,Nae'Qwan Tomlin,PF,-,-,,,-,
2023,Nick Smith Jr.,SG,-,-,,,-,
2023,Nikola Djurisic,SF,8.25,9.50,79.0,102.0,217.6,80.25
2023,Noah Clowney,PF,-,-,,,-,
2023,Olivier-Maxence Prosper,PF,8.25,10.00,78.75,104.0,212.4,85.0
2023,Omari Moore,SG,9.00,10.25,77.25,103.5,188.6,81.75
2023,Oscar Tshiebwe,C,9.75,10.25,79.25,108.0,253.6,87.5
2023,Rayan Rupert,SF,8.50,9.50,78.0,106.0,193.2,86.0
2023,Reece Beekman,PG,8.50,8.25,73.5,100.5,190.6,79.0
2023,Ricky Council IV,SF,7.75,8.50,77.0,103.0,208.0,81.0
2023,Ryan Kalkbrenner,C,9.25,11.00,84.75,112.5,251.8,89.0
2023,Scoot Henderson,PG,-,-,,,-,
2023,Seth Lundy,SF,8.50,9.00,76.0,104.0,214.4,82.25
2023,Sidy Cissoko,SF,9.25,10.00,77.5,104.0,223.8,81.75
2023,Taylor Hendricks,PF,9.25,10.25,80.25,107.0,213.6,84.5
2023,Terquavion Smith,SG,8.50,8.00,74.5,98.0,163.2,78.75
2023,Terrence Shannon Jr.,SF,8.25,8.00,77.5,102.0,220.0,80.0
2023,Toumani Camara,PF,9.00,10.00,79.0,107.0,220.4,84.5
2023,Trayce Jackson-Davis,C,9.25,10.75,80.25,106.0,240.4,85.0
2023,Trey Alexander,SG,8.50,8.75,75.25,101.5,184.6,82.0
2023,Tristan Vukcevic,C,9.00,10.25,83.25,111.0,223.4,86.5
2023,Victor Wembanyama,C,-,-,,,-,
2023,Zach Edey,C,9.75,11.00,87.25,115.5,306.4,94.5
2022,AJ Griffin,SF,-,-,,,-,
2022,Alondes Williams,SG,8.50,9.25,75.75,102.0,209.0,79.0
2022,Aminu Mohammed,SG-SF,8.75,9.50,75.5,104.0,212.8,83.0
2022,Andrew Nembhard,PG,8.00,9.50,75.0,99.0,195.6,77.75
2022,Bennedict Mathurin,SG,8.50,9.75,76.5,104.0,204.6,81.0
2022,Blake Wesley,SG,8.25,9.00,75.0,103.0,187.2,81.25
2022,Bryce McGowens,SG,8.75,9.50,77.25,103.5,181.2,80.75
2022,Bryson Williams,PF-C,-,-,,,-,
2022,Chet Holmgren,PF,-,-,,,-,
2022,Christian Braun,SG,8.00,8.50,77.5,99.5,209.2,78.5
2022,Christian Koloko,C,9.00,10.75,82.75,113.0,221.0,89.25
2022,Collin Gillespie,PG,8.25,9.00,73.5,98.0,195.8,76.0
2022,Dalen Terry,SG,8.50,9.00,78.0,106.0,195.2,84.75
2022,Darius Days,SF-PF,-,-,,,-,
2022,David Roddy,PF,8.75,10.00,76.5,105.0,260.8,83.5
2022,Dereon Seabron,SG,8.50,9.50,76.75,103.5,182.4,80.75
2022,Dominick Barlow,PF,9.00,10.50,80.75,108.5,221.0,87.0
2022,Drew Timme,C,9.00,10.00,80.25,107.5,231.6,86.0
2022,Dyson Daniels,SG,8.50,9.75,78.0,105.0,195.2,82.5
2022,E.J. Liddell,PF,8.25,9.25,77.5,103.5,243.0,83.75
2022,Fanbo Zeng,SF-PF,-,-,,,-,
2022,Gabriele Procida,SG-SF,8.00,9.25,77.75,106.0,192.8,80.0
2022,Harrison Ingram,SF,9.00,10.00,77.25,103.5,232.8,84.25
2022,Hugo Besson,SG,7.50,8.50,76.5,102.0,180.4,77.5
2022,Ismael Kamagate,PF,-,-,,,-,
2022,Iverson Molinar,PG,8.50,9.50,74.25,101.0,183.2,80.0
2022,JD Davison,PG,8.50,9.50,72.5,99.5,191.8,78.5
2022,Jabari Smith,PF,-,-,,,-,
2022,Jabari Walker,PF,8.75,9.75,78.75,105.0,213.8,82.75
2022,Jaden Hardy,SG,-,-,,,-,
2022,Jaden Ivey,PG,-,-,,,-,
2022,Jake LaRavia,PF,8.50,10.25,78.75,104.0,227.2,81.5
2022,Jalen Duren,C,-,-,,,-,
2022,Jalen Williams,SG,8.50,9.50,76.5,105.5,209.2,86.25
2022,Jalen Wilson,SF-PF,-,-,,,-,
2022,Jared Rhoden,SG-SF,-,-,,,-,
2022,Jaylin Williams,C,8.50,10.50,80.75,108.5,236.6,85.0
2022,Jean Montero,PG,8.00,8.75,73.0,98.5,171.8,77.25
2022,Jeremy Sochan,PF,-,-,,,-,
2022,John Butler Jr.,PF,8.50,8.75,83.75,112.0,174.4,86.25
2022,Johnny Davis,PG,8.50,10.25,76.25,103.5,196.4,80.5
2022,Johnny Juzang,SG,8.50,9.50,77.25,102.5,208.6,83.0
2022,Josh Minnott,PF,-,-,,,-,
2022,Julian Champagnie,SF,8.75,9.25,78.25,107.0,212.4,82.0
2022,Julian Strawther,SF,8.25,8.50,77.75,104.5,207.6,81.5
2022,Justin Lewis,PF,9.00,10.50,78.25,105.5,235.4,86.5
2022,Keegan Murray,PF,-,-,,,-,
2022,Kendall Brown,SF,9.00,9.00,78.25,103.0,201.2,83.0
2022,Kennedy Chandler,PG,8.50,9.50,71.5,97.0,172.2,77.25
2022,Kenneth Lofton Jr.,PF-C,-,-,,,-,
2022,Keon Ellis,SG,8.00,9.25,75.5,102.0,167.4,80.5
2022,Khalifa Diop,C,-,-,,,-,
2022,Kofi Cockburn,C,9.75,10.25,83.0,110.5,293.0,88.25
2022,Leonard Miller,SF,9.25,10.50,80.5,106.5,211.0,86.0
2022,Malaki Branham,SG,8.50,9.75,76.0,102.5,194.8,82.0
2022,MarJon Beauchamp,SG,9.00,9.00,77.25,106.0,196.6,84.75
2022,Marcus Sasser,PG,-,-,,,-,
2022,Mark Williams,C,9.00,9.75,84.0,117.0,242.4,90.5
2022,Matteo Spagnolo,PG,8.25,10.00,76.0,102.0,196.2,80.0
2022,Matthew Mayer,SF,9.00,10.25,80.0,105.0,216.4,82.5
2022,Max Christie,SG,8.00,8.50,76.25,102.5,189.2,80.75
2022,Michael Foster Jr.,C,8.75,10.00,79.75,109.5,236.6,84.25
2022,Moussa Diabate,C,8.50,10.50,81.25,109.5,216.6,86.5
2022,Nikola Jovic,SF,8.75,9.75,81.5,108.5,222.6,84.25
2022,Ochai Agbaji,SG,8.75,9.50,76.5,104.0,216.8,82.25
2022,Orlando Robinson,C,8.75,10.00,81.75,111.0,244.4,88.0
2022,Ousmane Dieng,SF,-,-,,,-,
2022,Paolo Banchero,PF,-,-,,,-,
2022,Patrick Baldwin Jr.,SF,8.75,9.50,81.25,110.5,230.8,85.75
2022,Peyton Watson,SF,8.50,9.50,78.75,107.5,203.4,84.5
2022,Ron Harper Jr.,SF,9.50,10.00,76.0,105.5,240.4,85.25
2022,Ryan Rollins,SG,8.00,8.50,74.0,100.5,179.2,81.75
2022,Scotty Pippen Jr.,PG,7.75,9.00,72.0,95.5,180.0,77.75
2022,Shaedon Sharpe,SG,9.00,9.25,76.25,103.5,198.0,83.5
2022,Tari Eason,PF,9.25,11.00,78.75,107.5,217.4,86.0
2022,Terquavion Smith,SG,8.50,8.00,74.25,98.0,165.2,78.5
2022,Trayce Jackson-Davis,C,-,-,,,-,
2022,Trevion Williams,C,9.00,10.25,79.25,108.5,264.6,86.75
2022,Trevor Keels,SG,8.25,9.00,75.25,101.0,223.8,79.25
2022,TyTy Washington Jr.,SG,8.50,9.25,74.25,99.5,196.4,80.0
2022,Tyrese Martin,SG-SF,-,-,,,-,
2022,Walker Kessler,C,8.50,8.50,84.25,113.0,256.0,88.25
2022,Wendell Moore,SG,8.75,10.25,76.25,101.0,217.2,84.5
2021,AJ Lawson,SG-SF,8.50,9.25,77.5,99.5,179.2,78.75
2021,Aaron Henry,SF,8.50,9.25,76.5,103.5,209.6,82.75
2021,Aaron Wiggins,SG-SF,8.75,8.50,76.5,103.0,190.0,81.75
2021,Ariel Hukporti,C,9.50,9.50,82.75,111.5,246.0,86.5
2021,Austin Reaves,SG,8.00,8.25,76.5,101.0,197.2,78.25
2021,Ayo Dosunmu,SG,8.50,8.75,75.5,102.0,194.4,82.25
2021,Brandon Boston Jr.,SF,9.00,9.75,77.75,104.0,188.0,82.75
2021,Cade Cunningham,PG,-,-,,,-,
2021,Cam Thomas,SG,-,-,,,-,
2021,Carlik Jones,PG,8.25,9.00,72.0,97.5,173.6,77.0
2021,Charles Bassey,C,9.00,9.50,81.25,107.5,230.2,87.0
2021,Corey Kispert,SF,8.75,10.00,78.0,102.0,223.8,79.0
2021,DJ Steward,PG,8.50,9.00,72.75,98.5,162.2,79.0
2021,Daishen Nix,PG,8.50,9.00,75.0,100.0,225.6,78.75
2021,David Duke Jr.,SG,8.50,9.00,76.25,102.5,203.6,80.75
2021,David Johnson,SG,8.25,8.50,75.25,104.0,202.8,82.5
2021,Davion Mitchell,PG,8.25,8.75,72.0,96.5,202.4,76.25
2021,Day'Ron Sharpe,C,-,-,,,-,
2021,Duane Washington Jr.,SG,8.25,8.75,74.25,101.0,196.8,79.75
2021,Evan Mobley,PF,-,-,,,-,
2021,Greg Brown III,PF,9.00,9.75,79.25,107.0,206.4,84.25
2021,Herbert Jones,SF,8.50,9.00,78.0,106.0,206.4,84.25
2021,Isaiah Jackson,C,-,-,,,-,
2021,Isaiah Livers,SF,9.00,9.50,77.75,104.5,231.8,81.25
2021,Isaiah Mobley,PF,9.00,10.00,80.0,107.5,238.0,87.0
2021,Isaiah Todd,PF,9.00,9.75,80.75,107.5,219.0,85.25
2021,JT Thor,PF,9.25,9.50,80.5,110.0,203.0,87.25
2021,Jaden Springer,SG,8.50,9.75,75.0,99.0,202.0,79.75
2021,Jalen Green,SG,-,-,,,-,
2021,Jalen Johnson,PF,9.75,10.50,79.75,106.0,209.6,84.25
2021,James Bouknight,SG,8.75,9.00,75.5,101.5,190.0,80.25
2021,Jared Butler,PG,8.50,8.25,74.25,98.5,193.0,76.0
2021,Jason Preston,PG,8.50,9.25,75.0,100.5,180.6,80.5
2021,Jeremiah Robinson-Earl,PF,9.00,9.75,79.75,105.5,242.4,81.75
2021,Jericho Sims,C,9.00,9.75,81.0,106.0,250.2,87.25
2021,Joe Wieskamp,SF,8.50,9.25,77.75,103.0,204.8,83.0
2021,John Petty Jr.,SG,8.50,9.00,76.5,103.5,186.2,81.5
2021,Johnny Juzang,SG,8.50,9.50,77.5,100.5,209.0,82.5
2021,Jonathan Kuminga,SF,-,-,,,-,
2021,Josh Christopher,SG,8.75,8.50,75.25,101.0,214.8,81.25
2021,Joshua Primo,SG,9.00,10.00,76.0,102.5,189.0,81.25
2021,Julian Champagnie,SF,9.00,8.50,78.5,106.5,217.4,82.0
2021,Justin Champagnie,PF,8.75,8.50,77.75,104.0,206.4,81.5
2021,Kai Jones,PF,9.00,9.50,82.0,110.5,221.4,85.75
2021,Keon Johnson,SG,8.50,9.00,75.5,97.0,184.8,79.25
2021,Kessler Edwards,PF,8.50,8.25,79.0,106.0,203.0,83.25
2021,Luka Garza,C,9.00,9.25,82.0,107.5,242.8,85.5
2021,Makur Maker,C,8.75,9.50,82.25,112.0,232.2,85.75
2021,Marcus Bagley,SF,8.75,8.50,78.0,102.5,216.8,83.0
2021,Marcus Zegarowski,PG,8.00,9.50,72.75,96.0,180.8,74.75
2021,Matt Hurt,PF,9.00,9.00,80.5,106.5,232.4,81.5
2021,Matthew Mayer,PF,-,-,,,-,
2021,Max Abmas,PG,8.00,7.75,70.5,94.0,161.8,73.75
2021,McKinley Wright IV,PG,8.50,9.00,71.25,94.0,192.2,77.25
2021,Miles McBride,PG,9.00,9.50,73.0,99.5,195.2,80.75
2021,Moses Moody,SG,9.00,10.00,76.5,105.0,210.6,84.75
2021,Moses Wright,PF,9.00,9.50,79.75,107.0,225.8,84.75
2021,Nah'Shon Hyland,SG,8.75,9.00,74.0,101.5,169.0,81.25
2021,Neemias Queta,C,9.25,10.50,83.25,112.5,248.4,88.0
2021,Ochai Agbaji,SG,9.00,8.75,76.5,103.5,214.4,82.0
2021,Quentin Grimes,SG,8.50,10.00,76.0,101.0,205.0,80.0
2021,RaiQuan Gray,PF,9.25,9.00,78.5,105.0,268.6,82.75
2021,Roko Prkacin,PF,8.75,9.25,79.5,107.0,225.4,83.0
2021,Sam Hauser,SF,8.25,9.00,78.75,102.0,217.4,81.25
2021,Sandro Mamukelashvili,C,9.00,9.50,81.0,106.5,239.8,85.25
2021,Scottie Barnes,SF,9.25,10.25,79.0,108.0,225.4,86.75
2021,Scottie Lewis,SF,8.75,9.75,76.0,101.5,187.6,84.0
2021,Sharife Cooper,PG,-,-,,,-,
2021,Terrence Shannon Jr.,SF,8.00,8.00,77.5,100.0,206.6,80.25
2021,Tre Mann,PG,8.00,9.00,75.25,98.5,177.6,76.0
2021,Trendon Watford,PF,9.50,9.50,79.5,105.0,237.4,86.25
2021,Trey Murphy III,SF,8.50,9.00,79.5,105.5,206.0,84.0
2021,Yves Pons,PF,9.00,9.25,77.5,104.0,206.4,84.75
2021,Ziaire Williams,SF,9.00,8.75,80.25,106.5,188.4,82.25
2020,Ashton Hagans,PG,9.00,9.00,73.5,99.5,193.0,80.0
2020,CJ Elleby,SG-SF,8.75,10.00,77.5,100.5,198.6,79.25
2020,Cassius Stanley,SG,8.25,9.00,77.0,99.5,201.6,79.0
2020,Cassius Winston,PG,8.75,8.25,72.5,97.0,196.0,78.0
2020,Devon Dotson,PG,8.25,10.00,72.5,95.0,185.2,75.0
2020,Elijah Hughes,SF-SG,8.50,8.75,76.75,101.5,229.0,79.5
2020,Grant Riller,PG-SG,8.00,8.50,72.25,96.5,178.4,77.25
2020,Immanuel Quickley,SG,8.00,8.75,74.0,99.0,185.8,80.25
2020,Isaiah Joe,SG,8.25,8.25,75.0,101.0,170.4,79.5
2020,Isaiah Stewart,C,9.00,10.50,79.25,108.5,243.0,88.75
2020,Jahmi'us Ramsey,SG,8.75,9.75,74.5,100.5,193.4,78.0
2020,Jalen Harris,SG,8.25,9.50,74.75,97.5,193.4,79.0
2020,Jalen Smith,PF-C,9.25,9.25,81.25,110.0,224.6,86.25
2020,Jayden Scrubb,SG-SF,8.25,9.75,77.0,104.5,185.2,81.5
2020,Jordan Nwora,SF-PF,8.50,9.25,77.75,104.0,223.0,82.25
2020,Josh Green,SG-SF,8.00,8.75,76.5,101.5,214.0,81.75
2020,Joshua Hall,SF,8.75,9.50,78.0,104.5,196.6,83.0
2020,Kahlil Whitney,SF,9.25,10.25,77.5,105.5,205.0,84.25
2020,Kaleb Wesson,C,9.00,10.75,81.25,111.5,252.6,87.5
